Identifier,Comment,SubTask1,SubTask2
9158,Kon jat diya gya ye v bata de,Non-AntiReligion,None
6697,Sister एस्तर आप एक बात ये भी बताओ कि! मंदिर के बाहर भिखारी बैठते है। परंतु चर्च के बाहर भिखारी बैठे नहि दिखते.। ऐसा क्यों?,Non-AntiReligion,None
3083,Sub Muslim hain hindu bhee muslim hain,AntiReligion,Hinduism
2649,Aapni 6 Pidio Kai Naam Gina Doo Saab Hindu sai Convert Hi Niklogai. Saab Nakli Muslim Hai Aarab Kai Asli Muslim Ki Nakal. Aarab kai muslim bhi tumko Aasli Muslim Maantai Hi Nahi.,Non-AntiReligion,None
11464,Jaha mn kre wha Pooja kro namaj padho Ek dusre se compare kyu krte ho sb .# respect every religion,Non-AntiReligion,None
2828,"Hindu Pooja padhati, niyam itni halki nahi hey ki kahi bhi aur kisi bhi haal mey karle...sanskar se bharpoor hey..",Non-AntiReligion,None
1733,Ab bhi waqt he bheno islam ko phechano in ger Muslim boy se bat bhi kro duniya me bhi jillat or akhrat me dard bhara azab sudhar jao,AntiReligion,Islam
7952,Yeh Mulana sirf Jalabi he banaya ga.,AntiReligion,Islam
4527,"jitna namaz padha utna book khol ke padhte to aaj pakistan greeb nahi hota 😂🤣 || mahabharat , bhagwat geeta padh padh ke log aaj safal hai like - APJ Abdul kalam sir jo eek muslim the 💕😎 with no hater",AntiReligion,Islam
8484,We have no problem 😊😊😊 because hindu muslim sikh isai sab aapas me Bhai Bhai 😊😊😊,Non-AntiReligion,None
379,"🙏जय श्री राम, मोहतरमा हिन्दू जन्नत क्यों जाएगा? हिन्दू तो स्वर्ग जाएगा .🙏सनातन.",Non-AntiReligion,None
8938,पच्चिस सालतक दिवारसे बातकर्ति रहि आप कास येशूसे मिलिहोती,Non-AntiReligion,None
8355,भईया please आपसे अनुरोध है की अपनी संस्कृति रक्षा हेतु 25 december ko chrishtmas ki जगह आखिर किसने #tulsipujandiwas का आवाहन किया कृपया 🙏🏻🙏🏻 इस पर भी वीडियो जरूर बनाए । आपसे हाथ जोड़ के विनती है ।🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🤗🤗🤗,AntiReligion,Christianity 
3504,R e vaia ei to jehad jab tak ek koi anya Dharma ki log rahe,Non-AntiReligion,None
11349,Bharat m pakistan se jyada dharam badal raha h yaha bharat ki hindu larkia vahut like karti h Islam ko,AntiReligion,Hinduism
8115,Bhailog tafart q phela rahe ho ......jab gad me dam nhi ghar nibhane ki to saadi nhi karna chahiye tha na,Non-AntiReligion,None
4595,Pahaley tho aap naklee Christian hai jo srif Christian dharam may paida hooei hai leykeen aap flim Bollywood dakh kar aap ka deemakh kharab ho gaya hai aap ney kabhibhi bible nahe pada aap ko yashu Christ kay barey may pata nahe hai jab aap jaisay log hamaysha jeeska pala bhari hota hai aap usekay hotey hai aaj modi hai hindu ka pala bhari hai eisliay aap hindu ban gai jab aap key pass kuch nahi tha tab jesus Christ kee prathna karkey sab kooch prapt karleeya aab Christian kee badnamee kar raheyho aap ko jesus Christ feersay aap ko pahaley jaisa bana deygay feer aap ko pata chaleyga kee jesus Christ kon hai tap aap ka rooney say kohe faeida nahi hoga haleyloyaha amen jai yashu kee,Non-AntiReligion,None
1378,Aapke paas kya saboot hai ki paisa de kar Christina bnaya jata hai,AntiReligion,Christianity 
5674,Adam aur mufti yaseer ko bulaiye,Non-AntiReligion,None
9087,Khuda ka baat jo palan karta hai wo hamesa suraksit hai or bohut jyada khus ......or khuda k bare mei olta sidha bat na karo o he acha hai,Non-AntiReligion,None
5405,Nahi kyu ki hamara vasta baba adam sa ha pahala koi hindu nahi thi pahala sab allah ko manna bala tha kyi ki ram ak insan tha krishn ak insan hanuman insan shiv jis na asur ko bardan diya or apni mot sa dar kar bhag raha tha vo bhagban nahi allah ak ha us ka koi mabap nahi us ki koi olad nahi allah hamasa sa ha or hamasa rahaga islam jindabad,Non-AntiReligion,None
7065,"Quran se bada jooth iss dharti par nahi hai,jisne pure sansar Ko paresan kar rakha hai",AntiReligion,Islam
9403,Kissi ne hindu ko roka kyaa Puja krne se road PE?,AntiReligion,Hinduism
7091,Payar me dunya ki badi badi barbad Ho gaye,Non-AntiReligion,None
5658,Sahi Kara hai. Aese ladki ke shat aese hona chiye lant he aesi ladkiya pr,Non-AntiReligion,None
8348,Puja hamesha saaf jagha pe ki jati inke jese nhi jha hug rhe h vahi alhaaaaaaaa alhaaaaa krne beth jao,AntiReligion,Islam
3534,Partition ke samay bhi sarkar secular banne ke chakkar mai kuch nahi kar paaya aaj bhi secular ban raha hai . Aap dabao banaaye  Tayyar ho.,Non-AntiReligion,None
813,Puja to hogi he ....chai bo road ho ya kuch or..........hindutva,AntiReligion,Hinduism
8508,Is debate me rss kya majak hai🤣😂😂🤭😂🤭🤣🤭🤣🤭🤣jahil maulana 🤣,AntiReligion,Hinduism
5714,Aur ek paidaishi Musalman kab tak dhokhe mein raheta,AntiReligion,Islam
2325,अलग-अलग Desh Mein chal jaaoge Hindu Se puchoge Ki Tumhara Tumhara Bhagwan kaun sa hai to bolenge falana dhimka yah vah aur Agar agar Kisi Desh Mein chale jao Kisi Desh Mein chal jao aur Musalman se poochh lo ki Tumhara majak kaun hai To Tu kahega Allah,Non-AntiReligion,None
6565,Sab Hindu ko bulao Bharat jitna jaldi ho sake phir humlog Muslim ko haha pe dikhayenge rodre rup,AntiReligion,Islam
3089,Laanat ho tum jesi ladkiyon ko jo apne maa baap to door ki baat aap apne rab Allah ko bhi chhor deti hai Dafa ho ab,Non-AntiReligion,None
10990,Are ye koun hote jannat main bhejne wale ye gande log hain inhone hi hamare desh main gandagi felai hai in sab ko jail main hona chahiye,Non-AntiReligion,None
5771,Hamare sath agar koi aisa karenga toh wo kutte ki mout marenga ....😡😡 Ham toh sabr kr rhe hai,Non-AntiReligion,None
11327,Ab ap ki deth nhi hogi mam kiu ki ap hinu ho,Non-AntiReligion,None
510,कोई इसको दो चाटे मारो मेरी तरफ से😂 अल्लाह ही खुदा है बोल रहा।🤣 सनकी नबी का काल्पनिक खुदा।😝,AntiReligion,Hinduism
10369,Islam Ko chhodkar Ka Firon Ka Sath Diya to Kafir to Kafi hi hota hai,AntiReligion,Islam
5203,"मुसलमान को अल्लाह , डायरेक्ट अस्मांसे क्यो नहीं गिराता,? इधर दूनियमामे काफिर को जन्म देता है, फिर मुस्लिम बनाना चाहता है ? Inka zut ko सही बोले तो ही सब.सही , नहींतो जबरान मानणंणे को जबरदस्ती कारेंगे, तर्क ही नाही है !",AntiReligion,Islam
7917,Yishu Masih ke naam se to mordevi Jinda Ho Jaate Hain yah Dard kya chij hai,AntiReligion,Christianity 
11256,"Islam ki sacchai janker koi bhi islam se duri rakhna hi pasand karega,pinaj doing great work for humanity",AntiReligion,Islam
4195,It is right Assam me bhi. Yehi ho raha heiiii 😠😠😠😠 hamare hindhu ko behela ke dharme de rahe heiii,AntiReligion,Hinduism
5775,we are indian stop guys yeh dhrm ke naam pr ldna be mature,Non-AntiReligion,None
8087,Bhai Puja road par nahi ho sakti kyon ki puja pavitra jaga hoti hai or namaz gatar nali suar ka pass hoti hai jai bhagwa 🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩,AntiReligion,Islam
415,Jitne bhi muslims area hai waha aag laga deni chahiye 🙄🙄🙄India mai,AntiReligion,Islam
5249,Phle mai bhi secular tha Kyunki??? Ye log selective batate hain. Khud k baare mei bhi aur Dusre fharmo k baare mei bhi.,Non-AntiReligion,None
1876,Musalmano ke purwaj hindu nahi the ya nahi ye to kisi ko pata nahi Lekin dogi gobar nath ke purwaj chor the isi liye dogi gobar nath bhi Emv chor bana😀😁😂🤣😄😅😆😉,AntiReligion,Islam
6486,Hate mat phailao. Ye hindu nahi muslim log h,Non-AntiReligion,None
1513,ब्राह्मणवाद और जातियों की कठोरता इंसान के साथ पशुओं से बुरा व्यवहार लोगों के धर्म परिवर्तन की वजह है,Non-AntiReligion,None
9954,Ye dougle hai Muslim log na hi puri tarah Hindu or na hi puri tarah Muslim dogle h ye,AntiReligion,Islam
1709,"Kya jannat madarchoot ,swrga bol ! Kya samjta ye muslim neta ,kyon allah ! Kaun yeh allah or kya karr raha hae hindustan mey",AntiReligion,Islam
339,Pavitra kalam ko insan ke dir ma na samaj sakta.,Non-AntiReligion,None
8890,Islam ka koi competition nii kar sakta bache,AntiReligion,Islam
9350,Acchia huya is ladki ke sath sahai hai Maro kutti,Non-AntiReligion,None
10107,Equality bhi ek cheez Hoti hai Maulana sahab Ko mauka nahi diya ja Raha hai....,Non-AntiReligion,None
3461,Ab kyu roti ho bahena us wakt josh me hosh khokar iman se kharij horhi hai,Non-AntiReligion,None
3436,Q bahan sochna chahiye Hindu ka sath Q rishta liya hinduku vishwas math karo aakhir woh hinduhe Muslim bahano hinduse baat math karo hinduki door tak nahi jaao,Non-AntiReligion,None
5371,Aur tumhara islami mulla to 35 tukre kr deta h and yaha bhi mulli hi saali faltu larki h,AntiReligion,Islam
8728,zahil mula gyan ja abhav hai gyan lena hai toh bhagwatgita se sikh lena,AntiReligion,Islam
9925,"तुम गलत हो,😠😠😠 तुम ने यीशु को जाना ही नहीं । यीशु पहले था अभी भी हैं और, हमेशा रहेगा। जो कहते हैं यीशु नहीं हैं तो मैं आपको बता देता हूं की इतिहास में यीशु को क्यों (ईसा पूर्व BC) और (ईसा बादAC) बताते हो, अगर यीशु नहीं होता तो इतिहास लंगड़ा पड़ जाता। अगर मैं कहूं तो हिंदू ही यीशु का प्रचार कर रहे हो",Non-AntiReligion,None
5660,जन्म से हिंदू पिता माता के धर्मांतरण से क्रिश्चियन पुनः हिन्दू धर्म में वापसी ! बहुत लंबी यात्रा एवं गहरा अनुभव । नमन करता हूं।,Non-AntiReligion,None
9690,आप अपने बारे में भी कभी बताइए,Non-AntiReligion,None
8656,Mai nahi manata koi Allah aur paigambar.I believe Ram ji,AntiReligion,Islam
3580,"कुरान की सच्चाई कोई भी बताता है , मुल्ले भड़क जाते है। पूरी दुनिया इनसे दुखी है।",AntiReligion,Islam
8658,Nahi manate hai alla ko 🚩🚩🚩,Non-AntiReligion,None
8283,pinaaj ji thoda tarkik aadmi ko laiye na bahus main,Non-AntiReligion,None
8955,Owaisi sahab ki baat sahi hai,Non-AntiReligion,None
11198,Hindustan ki sari masjiden Tod do kyunki Musalman road se hi Kam chala lenge kam pade to khet bhi khali hai 😈😈😈,AntiReligion,Islam
3188,Maulana PATLOON uttar ke bhag gaya phir se...🤣🤣🤣🤣😂😂😂😂😂😂. Inse na ho payega. Great work by the Lady Anchor and exmuslim.,AntiReligion,Islam
11297,To hagge ge bhi aur puja bhi kren ge😂😂😂🤣🤣,AntiReligion,Hinduism
1232,Jai Shri ram 🚩🚩🚩🚩 chatrapati Shivaji Maharaj ki Jai 🚩🚩🚩,Non-AntiReligion,None
11175,बरेली में 48 नाबालिग लड़कियों को लव जिहाद का शिकार होना पड़ा है कल का न्यूज है भारत में भी ऐसा ही हो रहा है,AntiReligion,Islam
32,"Modi जी अब 56 इंच का सीना लेकर पाकिस्तान पर कार्रवाई करे ,अन्यथा पीएम पद से इस्तीफा de",Non-AntiReligion,None
9269,Muslim me bhi agar eman nahi to jahannami hai .gair muslim to bahoot door ki bat hai.,AntiReligion,Islam
58,Masjido ko nuksan karna band kar do koi road per namaz nahi padega....,Non-AntiReligion,None
5541,"Jannat mein wo jayengay jiske krm acchey hongay tum ni jaogey bejubaano ko maarte ho, 4 4 biwi rkhtey ho tou ye auchhey krm ni hai",Non-AntiReligion,None
5543,पीनाज त्यागी मैडमआपको को एडम शिखर को भी डिबेट में रखना चाहिए,Non-AntiReligion,None
4432,जो बेटी माँ बाप की नहीँ हुई अब भुगतनी पड़ी,Non-AntiReligion,None
10420,"0 लॉजिक,केवल जज्बात और अनंत कॉन्फिडेंस। इसका गुस्सा ही इसकी हर का सबूत है ,ये काबिलाई है दिमाग डेवलप हुआ ही नहीं।",Non-AntiReligion,None
8561,islam ki gandagi ko samne lana re badi raat ki masjido me gangrape ki najayaj padaish mulle muslim gair muslim ke bhedbhav ke baare me bata mustiko ko maro pakadker maro,AntiReligion,Islam
11242,जन्नत का passaward है कलमा और एक आदमी झूठ कह के गया ईश्वर अल्लाह तेरो नाम,Non-AntiReligion,None
5258,2014 se pehle koi ex Muslim movement nhi tha..koi debate nahi tha..,Non-AntiReligion,None
1955,"गांड तोडो मदरचोदो की ,, येशू दिखाई दे उनको",AntiReligion,Christianity 
8158,Sab dekhlo ankho se sukoon sirf islam mein hi hai or izzat bhi usmein hi hai❤,Non-AntiReligion,None
6085,"जाहिल, इनकी कुरान ओर हदीसो कि पोल खोल रहे है क् मुस्लिम",AntiReligion,Islam
8171,Godi media agar Islam pe jayada hi bhes karni to Sam stollan ko bhi bulaogi and kabhi,AntiReligion,Islam
11544,Hindu muslim kabhi bhai bhai nhi ho sakte ye sabse bada jhut hai jago hinduo nhi to jihadiyo hume mita denge,AntiReligion,Hinduism
2602,तुम्हारे पर क्या दर्द है खुद गधे संभाला नहीं जाता,Non-AntiReligion,None
7382,Ye bewakoof aurat hai jo jinda parmeshwar ka aalochana kr rhe. Ek din ye khud wapas ussi Jesus ke. Jaaeigi,Non-AntiReligion,None
5473,Khana khilana hi mahenga pad jaata hai 😄😄😄🙏🙏 ye loude log se sambhal ke rahna,Non-AntiReligion,None
11459,मुल्लो तुम्हारी इज्जत अब तब होगी जब सच बोलना शुरू करोगे । बहुत दिन तक कुरान हदीस को छुपा कर रखे हैं । अब सच्चाई सामने आने लगी तो मुल्लों को मिर्ची लगना शुरू हो गया । अधिकांशतः डिबेट छोड़कर भागते हैं ।,AntiReligion,Islam
7941,Shukr Hai Allah Ke Ham Imaan wale ho gaye,Non-AntiReligion,None
5508,Debate mai jahil ko q bulate ho,Non-AntiReligion,None
6933,To kar na mana kon Kiya hai,Non-AntiReligion,None
6518,पोल तो मौलाना की खुल गई 😂😂😂😂😂,AntiReligion,Islam
1428,Agar aapko apni jhuthi baat siddh karni hai to aap likh se hatkar bolna shuru Karen aap अनाप-शनाप kuchh bhi bol sakte hain bus mudde Ko bhatkana hai,Non-AntiReligion,None
2303,Paiso se dharm parivartan nahi hota... Main v Christian hoon aur mujhe koi paisa nhi mila....,Non-AntiReligion,None
7169,chaplus media ke pas kya aur koi mudda nahi,Non-AntiReligion,None
9080,Modi ko ye sab dekhna chahiye,Non-AntiReligion,None
5440,😭 kya ho gya hai hmari behno ya Allah hm sbko hidayat dein kafiron mein frk kro ldkiyon 😠,Non-AntiReligion,None
11514,हे पॖभु इन्हे क्षमा कर कयोकि ये नहीं जानते कि ये क़या कर रहे है | यीशु ही पॖभु है ये जाने ऐसी बुध्दि इन्हें दीजिये | आमेन,Non-AntiReligion,None
205,Musalmanon ka purvaj Hindu hi tha,AntiReligion,Islam
3512,ये लोग इंसान नही है. इनसे सावधान और सतर्क रहे. जय श्री राम.,AntiReligion,Islam
11341,Jab har jata tab molana ka pasina chut gaya baat ghumane lagta hai ex muslim se dar jata hai muslimo molana ha ha ha ha ha samir jindabad,AntiReligion,Islam
3238,Yeh sub maa baap ki kami he,Non-AntiReligion,None
1079,Abe takle pahle kudka sikol dak,Non-AntiReligion,None
7342,Hum apne har festival season me road par pandal banaate hain na.,AntiReligion,Hinduism
6003,Kiya suresh chauhan ki beti kam pad rahi hai sures ladka chahiye to bata dena tumhari beti ko set karne ke liye,Non-AntiReligion,None
628,Ye Christan honge lekin Jesus ko achhe tarha jane nahi the ish liye apni jaan ko Satan ko de die hai lekin me bass inke liye prathna karti hun inko kshyama mile Amen,AntiReligion,Christianity 
2,4000000 लड़कियां मुसलमान ने मिलेगा और तेरे परिवार वालों से ज्यादा पैदा करें थोड़ी लग गया मुसलमान लड़कियों के लड़कियों को चलता फिरता मत समझो शेरनी पल्ले पड़ गई तुम्हें हिजड़ा बना देगा तुम जय श्री राम बोल रहे थे ना उस टाइम समय सारणी उसका नाम मुस्कान बन अल्लाह हू अकबर सदा बुलंद हो रही थी मुस्कान बानू जैसी शेरनी से तुम मुकाबला नहीं कर फालतू की बातें छोड़ो कुमारी बेटी तुम्हारी समझो हमारी बेटी हमारी जिसके है जिसकी रहने बुरी नजर वाले तेरा मुंह काला क्यों,AntiReligion,Hinduism
7028,to bindass Puja karo aur koi kuch nai bolega aur agar bola to kanoon hai na par dusro ke fatte me tang mat dalo jo namaz pad raha hai use padhne do aur fir bhi tumhe jalan ho rahi hai to jalte raho ab isme hum kya kare😂😂🤣🤣,AntiReligion,Islam
6885,Aur yahan muslims kahte hain ki unpe julm ho raha hai . Isse kahte hain .. julm😠,AntiReligion,Islam
9745,India mein bhi dekh lo ya andhe Ho Gaye Ho Tum log yahan ka bhi dekh lo kya chal raha hai,Non-AntiReligion,None
3346,Jesus aur God jhut yaa galat nahi hai.. Log galat hai.. Jese pehle v mandir ko income kaa adaa banaa diyaa thaa.. Ab v log ye sab kar rahe hai.. Lekin iss kaa matlab ye nahi ki... Jesus aur God galat hai..🤦‍♀️,AntiReligion,Hinduism
2756,Mein sanathani hoo mujhe itana pata hai mujhe jannat ya nark yeh to mere karam pe depend hai mein acha karam karke dharti se vida lunga agey Hari icha jai shree ram,Non-AntiReligion,None
10388,मौलाना जिलानी -गुस्सा करके अपनी बात रखना और तर्क कम होने पर धमकी देना तहजीब है. पूछने चला है तहजीब किसे कहते है अल्पज्ञानी मौलाना,AntiReligion,Islam
5556,"Ye. Maa. Baap. Ki. Mokar. Ki. Chohdi. Huwi. Ra,,,,,,H. jino. Ne. Apne. iman. Aur. Haya. Ka. Sauda. Kiya. Thu. in. Ki. Zindagi. Aur. Ghar. Walo. Par",Non-AntiReligion,None
6940,जाहिल । कहाँ है भारत में पैदा हुए देवी देवता । इनको नही बुलाओगे,AntiReligion,Hinduism
3291,यह जितने भी मौलाना धर्मगुरु है सब के सब नकली हैं इन्हें कुछ भी पता नहीं है कुरान शरीफ के बारे में बाइबल के बारे में इन्हें कुछ भी पता नहीं है यह सब नकली धर्मगुरु हैं,AntiReligion,Islam
9569,भारत में हिन्दू ओ की जनसँख्या बढ सकती हैं बशर्ते बहुओं की जाति पूछना बन्द कर दै । रमेशचन्द्र विद्यार्थी,AntiReligion,Hinduism
2167,Ishlam to katle aam macha k apna ishlam mein conversation karta he lekin esai dharm paisa lalach de kar conversation karta he,AntiReligion,Islam
1682,Khuda k waste door rhe kafiro k contact se,Non-AntiReligion,None
8177,Jo log sirf labh ke liye safe h voh hi log jesus ko Chor Kar phir sansar me chale hate h in logo ko sirf labh Chahiye sohrat Chahiye inhe atmikta Nahi Jo jesus ke pyar ki Sahi se samajhte h voh jesus ko Kabhi Nahi chodte yeh log Prabhu ki Sahi se Nahi Jane h,Non-AntiReligion,None
2806,Jhut bol re ho tum log Koi pese ni deta aap log konsi madad kr re ho vese apne aap ko hindu sangathan bolte ho karte kya ho tum hindu kes liye kabi hospital jate ho kisi hindu ka haal puchne,AntiReligion,Hinduism
6183,Bilkul sahi define kia sameer bhai ne,Non-AntiReligion,None
661,mujhe to hindu ladko se pyar hi nh hota,Non-AntiReligion,None
2202,Sameer Jaise loogon se bat hi kiyon. Karte ho yeh shaitan Hai aur ko aise. Logon se bat Nahi Karna chahie,Non-AntiReligion,None
7627,"😭😭😭😭 जय श्री राम🚩 I am losing my confidence मैं🚩हिंदुत्व 🚩 के लिए वीडियो बनाता हु पर कोई support नही करता 🥺😭....,,",Non-AntiReligion,None
1285,Bhaiyo Apna HINDU DHARM Koi Mullo ki Tarah sadak chap nhi hai toh yeh activity humne road pe nhi karni chahiye 💪⚔️🚩,AntiReligion,Islam
5430,"Uska prem kitna mahan hai uska gahraayi me jana itna asaan nahi hai, wah dharmiyon ke liye nahi balki hamsab papiyon ke hi aye. Ham papi hi thhe fir bhi usne ham hamse prem kiya. App log bhi unse prem karenge thoda time lagega.. Mai to prabhu yesu ko apna gyaan ya agyaan dono se pyaar karna chahu, aur mai prathhna karti hu ki uski santi prem aur asish bani rahe ham sab par, taki ham sab ulti sidhhi chijon se bhatak na jay",Non-AntiReligion,None
8734,Jab inn jahilo k paas koi jawab nhi hota to ye badtameezi karne lagate hai koi bhi mulla aaj tak jawab nhi de paya ye sirf yahi bolate hai ki galat tarjuma kar rahe hai to chutiye tu sahi tarjuma kar de na,AntiReligion,Islam
7951,"आपने बाइबल पढ़ा है , जीवन की रोटी यीशु मसीह हैं, ओर आप वो रोटी नहीं खा पाए",Non-AntiReligion,None
2112,जयहिनदुतव जयजयश्रीराम जयहिनदुतव डरो नहीं अपना हक लो ऐसी तैसी मुस्लिम कीशुभकामनाये,Non-AntiReligion,None
5395,Faltu bakchodi nhi hoti samjhe road pe kabhi beech road ke pooja ke bhaane road par dukhaan khol di,Non-AntiReligion,None
2005,Zakir naik ko to bulaav ek baar Phir dekho...,Non-AntiReligion,None
4675,Sanatan Dharma hai pehla 🚩 Jai shree Raam,Non-AntiReligion,None
11230,Mujhe koi hindu bhai .. 10 lakh dega mein hindu ho jaunga ..himot hai kisi ke paas Dene ka ...t,Non-AntiReligion,None
7289,Ek kam brammha dwitewe naste? Samunder aur समुंदर की बूँद में फ़र्क बताओ तब तब जानूं की islaam dharm bahut hi काबिल है?,AntiReligion,Islam
8797,Hm tho Akhand Bharat pe Hanuman chalisa padhenge 🔥🚩,Non-AntiReligion,None
668,Modi ji Jago Varna yah hijade ki aulad Hindustan ko bhi khokhla banaa denge,AntiReligion,Islam
7972,Humne Hamari Kom ki ladkiyon ko ko bajar mein jaane se nahin roka lekin masjid mein jaane se rok Rakha hai isiliye an Tak deen nahin pahunch pata aur be deen ladkiyon ka yahi hota hai,AntiReligion,Islam
13,talwar isle hote hindu ha sakte parishan ha,AntiReligion,Hinduism
3851,"Aise interviews k waja se lariya hoti h.. Humare yha hm sb hindi, muslim, Christan sb sath rhte hai sab ek dusre k religion ko respect krte h. Har dharm k festival me samil hote hai... Christians kvi kisi ko force ni krte dharm badlane k liye log khud dharm badalte h ye unki marji... Please aise vidoes k waja se bhut sare log k man badl jate h or dange hote h... Or app log maje late ho or marta bs garib h to is tra k preacher mat kariye..",Non-AntiReligion,None
9607,"इस्लाम के जनक सऊदी देश के प्रिंस मोहम्मद बिन सलमान ने घोषणा की है कि उनके देश में बच्चों को स्कूली पाठ्यक्रम में रामायण,महाभारत और गीता के अध्ययन के साथ साथ संस्कृत भी पढ़ाई जाएगी प्रिंस ऑफ सऊदी ने मोदी जी से आग्रह किया है कि संस्कृत के स्कॉलरस को भेजने की व्यवस्था करा दें",Non-AntiReligion,None
6758,Same satllone se dibat kar le dam hai to,Non-AntiReligion,None
6031,राजीव भाई *ऐस साक्षात्कार लेते रहिये*,Non-AntiReligion,None
3274,सच की तलवार बड़े बड़े मोलानायों की फाड़ की रख देती है,AntiReligion,Islam
6269,झूठ बोलने वाले के अंदर इंसानियत नहीं होती है।,Non-AntiReligion,None
4832,"धरम नामक सभी पुस्तकें(ग्रंथ)केवल ज्ञान प्राप्ति की पाठशालाओं में पढ़ाने की किताबें हैं। धर्म तो मुसल्लत ए ईमान(सनातन)ही हैं ...... "" इस संवाद सभा में एक भी आदमी मुसलमान नहीं है। .... सबके सब समाज मूर्ख बनाने वाले चोर बैठे हैं""......",Non-AntiReligion,None
6777,"Mujheh Samir baap lag raha ha ! Beteh , Beteh ! Hahahahohohohahaha !",Non-AntiReligion,None
5302,Polits me bhi yahi ho raha h youtube or insta pe bhi yahi yahi agar Bharat ke parshanio ke uppar vidio banate to logo ko bhi pata chalta ki hindu muslim ke alwa bhi kuch h,Non-AntiReligion,None
1972,Bus yahi bacha hai Desh mein Islam kya kahta hai Hindu Musalman karvao Tum Godi midia ka yahi kam hai. Berojgari per mahangai per debate nahi karengi. Desh barbadi kagar per ja Raha hai is per nahin baat karenge Khali Hindu Musalman Islam kya kahta hai desh ko barbad karne mein sabse bada yogdan godi media ka hai,AntiReligion,Islam
9556,Bhai tumhare ram ke purvaj kaun the Unka bhi purvaj bata do,AntiReligion,Hinduism
8796,Eslye hi eslam ko janwaro ka majhab h,Non-AntiReligion,None
8379,इस्लाम बहुत बड़ा खतरा है पूरे भारत के लिए ।,AntiReligion,Islam
6133,अरे भई ये सब मौलाना जमात इतने बौखलाते क्युं है ? इतनें क्युं डरें हुए है ये ?,AntiReligion,Islam
7507,Har kam ak sestem se hota h or jo log change huye h wo manege ase to koi bhi doctor bhi etna femus ho jata fir log baki doctors ke pass kayu jate h yani ak marij bar bar doctor kayu badlta h,Non-AntiReligion,None
7553,ye sab jo musalmaano ne kiya usse saaaf zaahir hogya ki unko apne khud ke so called bhgwaan ki izzat nhi h kyunki wo hai hi nhi isliye jhola chimta uthaya aur kahi bhi shuru ho gye arree dusre ke nahi toh atleast khud ke wale ki toh izzt krein!!!,AntiReligion,Hinduism
4043,हां इनके पूर्वज हिंदू थे क्योंकि इनका लिंग काटकर इन को मुसलमान बनाया जाता है,AntiReligion,Hinduism
2092,Tu Karo koi mana Kiya hai kya,AntiReligion,Islam
246,"Maulana jawaab do, kya koi ghair muslim Quran se hawala de kar tumse koi sawaal puchha hai jawaab dena chahie.",Non-AntiReligion,None
8240,"In ladkio ko Islam chhodne ka malal nahi, Ahle-Hanod say judai ka dard dikh raha hai. ALLAH hum sabhi ki Emman ki hifazat karen Aameen",AntiReligion,Islam
5659,Are dogle... Hindu ki har bat dikhti he tuje... Or moharam ke julus me chirenge fadenge ye gana pyaar or bhai chara badhata he kya re...,AntiReligion,Islam
7575,Is mudye pur hmari satkar ko thos kasm uthna chahiy yeh hinduyo ki suraksha ka sawal hai,AntiReligion,Islam
5525,Khisiyani Billi khamba noche aise hi Halat ine maulanaon Ki Hai🤣🤣🤣,AntiReligion,Islam
10166,Aage pichhe ho kar sabhi jannat me jaenge aur dozakh mein Koi nahin rahegaa..... Ek zamaanaa aayegaa dozakh ke kivadon (doors 🚪) ko babe sabaa ( Tandi Hawa) hilaaegi....,Non-AntiReligion,None
6702,Dewbandiyo miladulnabi band karakar Muslim larkiyon ko murtad ho rahi hai.miladulnabi ghar ghar hota to Muslim larkiya murtadd nahi hoti. Imaan par rahti. Dewbandiyo abto sharm Karo.,AntiReligion,Islam
1543,Dhram nhi aapne dil ko bdlana hota hai madam g,Non-AntiReligion,None
5179,जागो आर्यपुत्रो जागो अपने अन्दर सोई हुई दिव्य आत्मा को जगाओ जागो,Non-AntiReligion,None
186,Koi jabardasti agar le jae to police ke dar se ye log esa nhi krte to bhala fuslakar le jaate he or ye inke jhanse me aajati he,Non-AntiReligion,None
9072,Seedha seedha jawaab hai jo allah ko nhi maanege wo jahannum mi jaayega seedhi si baat,Non-AntiReligion,None
4899,Kamina to Kamina hi rahega na,Non-AntiReligion,None
3800,"Sachwala, Sahil aur Sameer se inki phatti hai.",Non-AntiReligion,None
5422,In ladkiyon ke saath Aisa hi hona chahiye jo apna Ghar aur dharm chhodke hinduo se Saadi karti hain inke saath Aisa hi hona chahiye,Non-AntiReligion,None
7550,Yadi Mulle Road pe Namaj padte hai to inhe Masjid aur Majar ki kya Jarurat hai???,AntiReligion,Islam
3651,इस्लामिक अरबी कल्ट भगाओ भारतीय उपमहाद्वीप को बचाओ,AntiReligion,Islam
3666,Yatraye to Asman ne nikalti hai,Non-AntiReligion,None
128,Maan karta he sabko chun chun kar thoku,Non-AntiReligion,None
7521,पाकिस्तानी बाढ से जहन्नुम मे जा रहे है.,AntiReligion,Islam
6089,Bilkul sahi kaha bhai aapane.. hamare ek khas din per road per namaj hoti hai... Aapka bhi ek khas din Ho acche din aapko Puja kar sakte ho road per.. pahla Eid ki namaj.. dusri jumme ki namaz hoti hai agar masjid mein jagah nahin hai. Tabhi ho sakti hai,AntiReligion,Islam
